Page_Number,Type,Price,Price_Per_M2,Surface_m2,Rooms,Bedrooms,Floor,Address,City,PostalCode,Department,Energy_Class,Is_New,Agency,URL,Confidence_Score
5,Appartement,170 000 €, 7 391 €/m²,23 m²,1 pièce(s),N/A,1,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",Paris 18ème,75018,75,G,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/goutte-d-or-chateau-rouge/255579655.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,560 000 €, 9 825 €/m²,57 m²,3 pièce(s),2 chambre(s),3,"Gambetta, Paris 20ème (75020)",Paris 20ème,75020,75,E,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/gambetta/256127939.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,265 000 €, 12 045 €/m²,22 m²,1 pièce(s),N/A,1,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/clignancourt-jules-joffrin/255675027.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,193 000 €, 8 391 €/m²,23 m²,1 pièce(s),N/A,1,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Non,N/A,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/242191393/,10
5,Appartement,950 000 €, 12 338 €/m²,77 m²,4 pièce(s),2 chambre(s),4,"Grandes Carrières-Clichy, Paris 18ème (75018)",Paris 18ème,75018,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/254520663.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,590 000 €, 14 115 €/m²,"41,8 m²",3 pièce(s),1 chambre(s),3,"Montmartre, Paris 18ème (75018)",Paris 18ème,75018,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/montmartre/249795691.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Maison,2 990 000 €, 18 924 €/m²,158 m²,7 pièce(s),5 chambre(s),7,"Gambetta, Paris 20ème (75020)",Paris 20ème,75020,75,F,Non,N/A,https://www.seloger.com/annonces/achat/maison/paris-20eme-75/gambetta/255156261.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,1 044 000 €, 9 110 €/m²,"114,6 m²",5 pièce(s),3 chambre(s),5,"Charles-Hermite-Evangile, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Non,N/A,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/243196807/,10
5,Appartement,320 000 €, 17 778 €/m²,18 m²,1 pièce(s),N/A,1,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",Paris 18ème,75018,75,F,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/clignancourt-jules-joffrin/250800503.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
5,Appartement,1 580 000 €, 7 524 €/m²,210 m²,4 pièce(s),2 chambre(s),4,"Plaine, Paris 20ème (75020)",Paris 20ème,75020,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/plaine/237372683.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D5&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,10
